,title,photo_url,n_thumbnails,rating,n_reviews,type,n_people,n_bedrooms,n_bathrooms,price,priceCurrency,availabilityStarts,availability,url,Occasional overnight guests,Pets,Smoking,1 Double bed,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Security deposit,Extra per tenant,Cleaning Frequency,Minimum stay,neighboorhood,n_Bathrooms,n_Kitchens,n_Living rooms,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,1 Single bed,Admin fee,Floor plan - 100 m2,"Female, 26-30 years old",Professional,Lives with family,Has pets,Bedroom area 8m 2,Short term penalty,Floor plan - 20 m2,Postgraduates,Floor plan - 110 m2,Bedroom area 10m 2,"Female, 40+ years old",Floor plan - 220 m2,Floor plan - 25 m2,Private bathroom,Bathroom,Bedroom area 1m 2,Floor plan - 105 m2,Floor plan - 5 m2,Floor plan - 4 m2,Floor plan - 13 m2,2 Single beds,Full-time employees,Floor plan - 8 m2,Floor plan - 15 m2,Bedroom area 25m 2,Female only,Bedroom area 9m 2,n_WCs,Floor plan - 10 m2,Undergraduates,Floor plan - 240 m2,Bedroom area 20m 2,Bedroom area 26m 2,Floor plan - 12 m2,Bedroom area 14m 2,n_Dining Rooms,Floor plan - 90 m2,Bedroom area 13m 2,Bedroom area 24m 2,Bedroom area 12m 2,Floor plan - 82 m2,Floor plan - 6 m2,Bedroom area 21m 2,Bedroom area 11m 2,Floor plan - 9 m2,Floor plan - 135 m2,Floor plan - 150 m2,Domestic students,Floor plan - 325 m2,Bedroom area 19m 2,The landlord didn’t provide any amenities for the Bathroom.,Floor plan - 280 m2,Floor plan - 40 m2,Bedroom area 18m 2,Floor plan - 160 m2,Floor plan - 14 m2,Floor plan - 18 m2,Floor plan - 85 m2,Male only,Requirements,n_Bathroom No photoss,Bedroom area 17m 2,Bedroom area 15m 2,Floor plan - 165 m2,Floor plan - 16 m2,International students,Floor plan - 400 m2,"Female, 18-25 years old",Undergraduate student,Floor plan - 126 m2,Floor plan - 30 m2,"Male, 31-40 years old",Floor plan - 75 m2,Floor plan - 120 m2,"Male, 40+ years old",Floor plan - 76 m2,Floor plan - 180 m2,Floor plan - 48 m2,Bedroom area 16m 2,n_Living room No photoss,Floor plan - 50 m2,Floor plan - 70 m2,Bedroom area 3m 2,Floor plan - 104 m2,Floor plan - 210 m2,Enclosed balcony,Floor plan - 98 m2,Female,Floor plan - 170 m2,Bedroom area 7m 2,Floor plan - 7 m2,Bedroom area 22m 2,Floor plan - 96 m2,Floor plan - 140 m2,Floor plan - 55 m2,Floor plan - 95 m2,Bedroom area 6m 2,Floor plan - 200 m2,Floor plan - 60 m2,Floor plan - 11 m2,n_WC No photoss,Floor plan - 130 m2,Bedroom area 32m 2,"Female, 31-40 years old",Male,Floor plan - 350 m2,Floor plan - 35 m2,2 Double beds,Floor plan - 190 m2,Postgraduate student,Floor plan - 21 m2,Bedroom area 30m 2,"Male, 18-25 years old",4 Single beds,Floor plan - 65 m2,Floor plan - 17 m2,Holding deposit,Floor plan - 300 m2,3 Single beds,Floor plan - 250 m2,Floor plan - 106 m2,Floor plan - 2 m2
0,"Huge double bedroom in an elegant 5-bedroom flat, in Marquês de Pombal",https://cdn-static-new.uniplaces.com/property-photos/34cf8b50771f7b04e462b8d0e19a6de9f7c055511206b3e3b061feb9b648b102/x-large.jpg,31,0,0,Double bedroom,Up to 2 people,5-bedroom apartment,3 bathrooms,750,EUR,Thu Jan 13 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/435386,True,False,False,True,True,True,1,True,True,2,1,0,1,Fortnightly,Included,Moderate,Equal to first rent,€200/month,None,27 nights,Marquês de Pombal,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,3,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Large double bedroom close to the city center,https://cdn-static-new.uniplaces.com/property-photos/934d19ba585d2a26aabf482828c63b737cd4358e093051ebe1090d4a10718a5d/x-large.jpg,6,0,0,Double bedroom,Up to 2 people,7-bedroom apartment,1 Bathroom,440,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/436709,False,False,False,True,,,,,,1,True,False,0,Monthly,Some included,Moderate,€640,€90/month,Weekly,135 nights,Saldanha,1.0,1.0,,1.0,,,,0.0,,,0.0,1,1,0,1,1.0,1.0,1.0,,,1.0,,,,,False,True,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Friendly Single Bedroom close to Monte Abraão Train Station,https://cdn-static-new.uniplaces.com/property-photos/42c77f2d24b708fdd17e2ddb163ae329989adafe6b43a8e92ac433d273f32b49/x-large.jpg,15,0,0,Single bedroom,1 person,6-bedroom house,2 bathrooms,260,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/83146,False,False,False,,True,0,2,False,False,3,1,0,0,Fortnightly,Some included,Moderate,Equal to first rent,,Monthly,90 nights,Unknown,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,False,True,0.0,0.0,True,€25/one-time fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Comfortable single bedroom in quiet Campolide,https://cdn-static-new.uniplaces.com/property-photos/66eeab8924c735f8ba6bdad21363fda62c562985067494cd64c0d3fee76b9184/x-large.jpg,18,0,0,Single bedroom,1 person,4-bedroom apartment,1 Bathroom,350,EUR,Fri Jan 21 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/421888,False,False,True,,True,True,1,,,2,1,0,1,Daily,Included,Moderate,Equal to first rent,,None,180 nights,Campolide,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,1.0,,1,1,1,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,,True,,1.0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Excellent single bedroom with a balcony, in Campolide",https://cdn-static-new.uniplaces.com/property-photos/7d3d188a3d8d1dbaaf5948c3bf8d244a297a07afd06c0fce9259ebef9e5b568c/x-large.jpg,20,0,0,Single bedroom,1 person,4-bedroom apartment,1 Bathroom,350,EUR,Fri Jan 21 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/421887,False,False,True,,True,True,1,,,2,1,0,1,Daily,Included,Moderate,Equal to first rent,,None,180 nights,Campolide,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,1.0,,1,1,1,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,,True,,1.0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cool single bedroom minutes away from Instituto Superior Técnico,https://cdn-static-new.uniplaces.com/property-photos/86ed6c0b8622d0dabbf679e89c5db9321ef55a3f0ee1a392ab4ea78319ef257b/x-large.jpg,10,5,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""fd706b66-2742-4960-81f1-511f48642d76"")>",Single bedroom,1 person,7-bedroom apartment,2 bathrooms,291,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/69757,True,False,False,,,,1,,,3,,,1,Monthly,Included,Moderate,€591,,Weekly,145 nights,Alameda,2.0,1.0,,0.0,,,,0.0,,,,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Cosy single bedroom with an independent entrance, in Bairro Alto",https://cdn-static-new.uniplaces.com/property-photos/d48f2cd5772a39041621ccaf2e799c81bb8fef2d7482e5e7e326ac74fb250165/x-large.jpg,16,5,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""dc67e822-1b9c-4287-8e3f-8568141c92a7"")>",Single bedroom,1 person,5-bedroom apartment,1 Bathroom,300,EUR,Thu Jan 13 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/47548,False,False,False,,False,False,1,True,True,1,False,False,0,Fortnightly,Not included,Moderate,Equal to first rent,,Weekly,27 nights,Bairro Alto,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,False,False,True,0.0,0.0,True,,1.0,True,True,True,True,True,60 days,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Cool double bedroom in Arroios, near Instituto Superior Técnico",https://cdn-static-new.uniplaces.com/property-photos/03742f07bef2820ee64c1a68de43f0a4740f894765a98c0343d8832475acb9cf/x-large.jpg,13,3,"<selenium.webdriver.remote.webelement.WebElement (session=""5c9b2c8b2d9aaf92b979720717073b45"", element=""961e4a72-1548-46e5-bfff-f640dbddb35d"")>",Single bedroom,Up to 2 people,9-bedroom apartment,2 bathrooms,280,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/69704,True,False,False,,,,1,,,3,,,1,Monthly,Included,Moderate,€580,€90/month,Weekly,145 nights,Arroios,2.0,1.0,,0.0,,,,0.0,,,,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sunny single bedroom near Carcavelos train station,https://cdn-static-new.uniplaces.com/property-photos/ce38f4b4df7e82e6721aae2fd69723bcbb5457a15af1ece5888d3de749ddf097/x-large.jpg,7,0,0,Single bedroom,1 person,4-bedroom apartment,1 Bathroom,350,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/163049,False,False,False,,True,True,1,True,True,1,False,False,0,Fortnightly,Some included,Strict,€200,,Weekly,90 nights,Carcavelos,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,True,False,True,0.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Very nice single bedroom in Intendente,https://cdn-static-new.uniplaces.com/property-photos/985121d8c74047935a45c6f7855ced42a6d12998e5b694ee28848d820484fb37/x-large.jpg,19,0,0,Single bedroom,1 person,Apartment in hostel,6 bathrooms,399,EUR,Wed Jan 12 2022 00:00:00 GMT+0000,OnlineOnly,https://www.uniplaces.com/accommodation/lisbon/149775,False,False,False,,False,0,0,True,True,2,1,0,0,Fortnightly,Included,Moderate,Equal to first rent,,Not specified,27 nights,Intendente,2.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,2,0,,,,,,,,,0.0,0.0,1,True,True,,,True,,,,,,,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
