,title,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,url,allows_Occasional overnight guests,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,Enclosed balcony,Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
0,"Huge double bedroom in an elegant 5-bedroom flat, in Marquês de Pombal",31.0,0,Double bedroom,2,5,3,750.0,https://www.uniplaces.com/accommodation/lisbon/435386,1,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,200.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,,,0,1,0,1,0,0,0.0,1
1,Large double bedroom close to the city center,6.0,0,Double bedroom,2,7,1,440.0,https://www.uniplaces.com/accommodation/lisbon/436709,0,0,0,0,0,0,0,1,1,0,0,Monthly,Some included,90.0,Weekly,135.0,Saldanha,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,,,0,0,0,1,0,0,200.0,1
2,Friendly Single Bedroom close to Monte Abraão Train Station,15.0,0,Single bedroom,1,6,2,260.0,https://www.uniplaces.com/accommodation/lisbon/83146,0,0,1,0,2,0,0,3,1,0,0,Fortnightly,Some included,0.0,Monthly,90.0,Unknown,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,25.0,0,,,0,1,1,0,0,0,0.0,1
3,Comfortable single bedroom in quiet Campolide,18.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/421888,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,0.0,Not specified,180.0,Campolide,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,100.0,,0,1,1,0,0,0,0.0,1
4,"Excellent single bedroom with a balcony, in Campolide",20.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/421887,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,0.0,Not specified,180.0,Campolide,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,100.0,,0,1,1,0,0,0,0.0,1
5,Cool single bedroom minutes away from Instituto Superior Técnico,10.0,5,Single bedroom,1,7,2,291.0,https://www.uniplaces.com/accommodation/lisbon/69757,1,0,0,0,1,0,0,3,0,0,1,Monthly,Included,0.0,Weekly,145.0,Alameda,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,,,0,0,1,0,0,0,300.0,1
6,"Cosy single bedroom with an independent entrance, in Bairro Alto",16.0,5,Single bedroom,1,5,1,300.0,https://www.uniplaces.com/accommodation/lisbon/47548,0,0,0,0,1,1,1,1,0,0,0,Fortnightly,Not included,0.0,Weekly,27.0,Bairro Alto,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,0,100.0,8.0,0,0,1,0,1,0,0.0,1
7,"Cool double bedroom in Arroios, near Instituto Superior Técnico",13.0,3,Single bedroom,2,9,2,280.0,https://www.uniplaces.com/accommodation/lisbon/69704,1,0,0,0,1,0,0,3,0,0,1,Monthly,Included,90.0,Weekly,145.0,Arroios,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,,,0,0,1,0,0,0,300.0,1
8,Sunny single bedroom near Carcavelos train station,7.0,0,Single bedroom,1,4,1,350.0,https://www.uniplaces.com/accommodation/lisbon/163049,0,0,1,1,1,1,1,1,0,0,0,Fortnightly,Some included,0.0,Weekly,90.0,Carcavelos,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,,,0,0,1,0,0,0,-150.0,1
9,Very nice single bedroom in Intendente,19.0,0,Single bedroom,1,0,6,399.0,https://www.uniplaces.com/accommodation/lisbon/149775,0,0,0,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,,0,1,1,0,0,0,0.0,1
10,Fresh and bright single bedroom in Anjos,24.0,0,Single bedroom,1,0,6,399.0,https://www.uniplaces.com/accommodation/lisbon/22244,0,0,1,0,0,1,1,2,1,0,0,Fortnightly,Included,0.0,Not specified,27.0,Intendente,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,110.0,10.0,0,1,1,0,0,0,0.0,1
11,Lovely double bedroom near Instituto Politécnico de Lisboa - 1 month free,11.0,3,Double bedroom,2,9,2,285.0,https://www.uniplaces.com/accommodation/lisbon/281783,1,0,1,1,1,0,0,0,0,0,0,Monthly,Included,90.0,Weekly,80.0,Benfica,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
12,Classic single bedroom with a private bathroom in Benfica,10.0,5,Single bedroom,1,7,4,340.0,https://www.uniplaces.com/accommodation/lisbon/47619,1,0,1,1,2,1,1,1,1,0,1,Fortnightly,Included,0.0,Weekly,90.0,Benfica,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,0,1,1,2,1,0,0,0,0,0.0,0,220.0,,0,1,1,0,1,0,0.0,1
13,Homely double bedroom in Benfica,8.0,0,Double bedroom,2,3,1,297.0,https://www.uniplaces.com/accommodation/lisbon/82409,0,0,1,1,1,0,0,2,0,0,0,Monthly,Included,90.0,Weekly,27.0,Benfica,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
14,Great double bedroom not far from Alto dos Moinhos metro station,9.0,0,Double bedroom,2,3,1,297.0,https://www.uniplaces.com/accommodation/lisbon/82960,0,0,0,0,0,0,0,2,0,1,1,Monthly,Included,90.0,Weekly,90.0,Benfica,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0,0,0,1,0,0,300.0,1
15,Room with single bed with private bathroom in city center,7.0,0,Single bedroom,1,7,1,420.0,https://www.uniplaces.com/accommodation/lisbon/346095,0,0,0,1,1,0,0,1,0,0,0,Fortnightly,Included,0.0,Weekly,118.0,Saldanha,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,,,1,0,1,0,0,0,220.0,1
16,Single bedroom in 4-bedroom apartment with easy access to the subway,10.0,5,Single bedroom,1,4,2,300.0,https://www.uniplaces.com/accommodation/lisbon/234084,0,0,1,0,1,0,0,2,1,0,1,Fortnightly,Some included,0.0,Weekly,27.0,Lumiar,1,1,0,0,1,1,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0.0,0,,,0,1,1,0,0,0,0.0,1
17,Bright bedroom next to Carnide Metro Station,24.0,5,Single bedroom,1,5,2,350.0,https://www.uniplaces.com/accommodation/lisbon/57739,1,0,1,0,2,1,1,1,0,1,0,Fortnightly,Included,0.0,Not specified,27.0,Carnide,1,1,0,0,0,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,0.0,0,105.0,1.0,0,1,1,0,0,0,0.0,1
18,"Excellent single bedroom with a nice view, in São Sebastião",15.0,0,Single bedroom,1,10,3,430.0,https://www.uniplaces.com/accommodation/lisbon/435278,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,,,0,0,1,0,0,0,0.0,1
19,Very pleasant single bedroom in São Sebastião,15.0,0,Single bedroom,1,10,3,430.0,https://www.uniplaces.com/accommodation/lisbon/435276,0,0,1,1,1,0,0,2,0,0,1,Fortnightly,Included,0.0,Weekly,90.0,São Sebastião,1,1,0,0,1,1,0,0,3,3,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,,,0,0,1,0,0,0,0.0,1
