,title,photo_url,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,availabilityStarts,url,allows_Occasional overnight guests,allows_Pets,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,n_Kitchens,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,"landlord_Female, 26-30 years old",landlord_Professional,landlord_Lives with family,landlord_Has pets,short_term_penalty_days,allows_Postgraduates,"landlord_Female, 40+ years old",allows_Full-time employees,allows_Female only,allows_Undergraduates,n_Dining Rooms,allows_Domestic students,allows_Male only,Requirements,allows_International students,"landlord_Female, 18-25 years old",landlord_Undergraduate student,"landlord_Male, 31-40 years old","landlord_Male, 40+ years old",Enclosed balcony,landlord_Female,"landlord_Female, 31-40 years old",landlord_Male,landlord_Postgraduate student,"landlord_Male, 18-25 years old",Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_wcs,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
0,"Huge double bedroom in an elegant 5-bedroom flat, in Marquês de Pombal",https://cdn-static-new.uniplaces.com/property-photos/34cf8b50771f7b04e462b8d0e19a6de9f7c055511206b3e3b061feb9b648b102/x-large.jpg,31.0,0,Double bedroom,2,5,3,750.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/435386,1,0,0,1,1,1,1,1,2,1,0,1,Fortnightly,Included,Moderate,200.0,Not specified,27.0,Marquês de Pombal,1,1,1,1,1,1,1,1,0,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0.0,1
1,Large double bedroom close to the city center,https://cdn-static-new.uniplaces.com/property-photos/934d19ba585d2a26aabf482828c63b737cd4358e093051ebe1090d4a10718a5d/x-large.jpg,6.0,0,Double bedroom,2,7,1,440.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/436709,0,0,0,0,0,0,0,0,1,1,0,0,Monthly,Some included,Moderate,90.0,Weekly,135.0,Saldanha,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,200.0,1
2,Friendly Single Bedroom close to Monte Abraão Train Station,https://cdn-static-new.uniplaces.com/property-photos/42c77f2d24b708fdd17e2ddb163ae329989adafe6b43a8e92ac433d273f32b49/x-large.jpg,15.0,0,Single bedroom,1,6,2,260.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/83146,0,0,0,1,0,2,0,0,3,1,0,0,Fortnightly,Some included,Moderate,0.0,Monthly,90.0,Unknown,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,25.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0.0,1
3,Comfortable single bedroom in quiet Campolide,https://cdn-static-new.uniplaces.com/property-photos/66eeab8924c735f8ba6bdad21363fda62c562985067494cd64c0d3fee76b9184/x-large.jpg,18.0,0,Single bedroom,1,4,1,350.0,2022-01-21,https://www.uniplaces.com/accommodation/lisbon/421888,0,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,Moderate,0.0,Not specified,180.0,Campolide,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,,0,1,0,1,0,0,0,0.0,1
4,"Excellent single bedroom with a balcony, in Campolide",https://cdn-static-new.uniplaces.com/property-photos/7d3d188a3d8d1dbaaf5948c3bf8d244a297a07afd06c0fce9259ebef9e5b568c/x-large.jpg,20.0,0,Single bedroom,1,4,1,350.0,2022-01-21,https://www.uniplaces.com/accommodation/lisbon/421887,0,0,1,1,1,1,0,0,2,1,0,1,Daily,Included,Moderate,0.0,Not specified,180.0,Campolide,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,,0,1,0,1,0,0,0,0.0,1
5,Cool single bedroom minutes away from Instituto Superior Técnico,https://cdn-static-new.uniplaces.com/property-photos/86ed6c0b8622d0dabbf679e89c5db9321ef55a3f0ee1a392ab4ea78319ef257b/x-large.jpg,10.0,5,Single bedroom,1,7,2,291.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/69757,1,0,0,0,0,1,0,0,3,0,0,1,Monthly,Included,Moderate,0.0,Weekly,145.0,Alameda,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,300.0,1
6,"Cosy single bedroom with an independent entrance, in Bairro Alto",https://cdn-static-new.uniplaces.com/property-photos/d48f2cd5772a39041621ccaf2e799c81bb8fef2d7482e5e7e326ac74fb250165/x-large.jpg,16.0,5,Single bedroom,1,5,1,300.0,2022-01-13,https://www.uniplaces.com/accommodation/lisbon/47548,0,0,0,0,0,1,1,1,1,0,0,0,Fortnightly,Not included,Moderate,0.0,Weekly,27.0,Bairro Alto,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,1,1,1,1,60.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,100.0,8.0,0,0,0,1,0,1,0,0.0,1
7,"Cool double bedroom in Arroios, near Instituto Superior Técnico",https://cdn-static-new.uniplaces.com/property-photos/03742f07bef2820ee64c1a68de43f0a4740f894765a98c0343d8832475acb9cf/x-large.jpg,13.0,3,Single bedroom,2,9,2,280.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/69704,1,0,0,0,0,1,0,0,3,0,0,1,Monthly,Included,Moderate,90.0,Weekly,145.0,Arroios,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,300.0,1
8,Sunny single bedroom near Carcavelos train station,https://cdn-static-new.uniplaces.com/property-photos/ce38f4b4df7e82e6721aae2fd69723bcbb5457a15af1ece5888d3de749ddf097/x-large.jpg,7.0,0,Single bedroom,1,4,1,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/163049,0,0,0,1,1,1,1,1,1,0,0,0,Fortnightly,Some included,Strict,0.0,Weekly,90.0,Carcavelos,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,-150.0,1
9,Very nice single bedroom in Intendente,https://cdn-static-new.uniplaces.com/property-photos/985121d8c74047935a45c6f7855ced42a6d12998e5b694ee28848d820484fb37/x-large.jpg,19.0,0,Single bedroom,1,0,6,399.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/149775,0,0,0,0,0,0,1,1,2,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Intendente,0,1,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,110.0,,0,1,0,1,0,0,0,0.0,1
